"","country","highest_point","blue_runs","red_runs","black_runs","ski_lifts","price","elevation_length"
"566","Poland",1126,2,2,0,2,24,261
"567","Germany",760,6,1,6,4,23,140
"568","France",1730,11,3,1,8,25.5,794
"569","France",1807,16,12,2,13,27.5,467
"570","Switzerland",1450,10,5,5,5,22,670
"571","Norway",945,4,2,1,3,39,245
"572","Italy",1820,32,34,19,5,28,585
"573","Italy",1652,57,22,74,2,26,543
"574","France",1785,182,4,18,12,19,415
"575","Poland",1025,13,78,2,28,24,214
"576","Sweden",394,56,41,29,7,33,180
"577","Slovenia",1215,10,8,2,17,35.5,415
"578","Switzerland",2075,8,10,2,3,31,775
"579","Italy",2090,6,12,1,4,22,630
"580","Switzerland",2204,9,9,2,3,42,656
"581","Poland",1362,33,67,2,8,24,655
"582","Switzerland",1491,6,6,0,5,37,691
"583","Switzerland",2200,6,4,10,3,40,600
"584","Switzerland",1680,58,62,0,5,41,480
"585","France",1350,13,7,1,16,32,478
"586","France",1704,12,5,1,10,15.2,254
"587","Italy",1696,11,1,2,2,20,567
"588","Italy",1534,3,3,1,4,38,669
"589","France",1860,13,10,2,10,26.5,440
"590","Switzerland",1960,15,7,15,4,51,590
"591","Italy",1705,1,12,2,4,30,549
"592","Northwest Russia",852,15,14,1,7,16.2,462
"593","Spain",2174,3,6,1,5,27,471
"594","Spain",2278,188,35,0,13,38,418
"595","Poland",1350,26,17,15,6,17,530
"596","Italy",2060,7,7,2,2,20,530
"597","Austria",2000,2,11,2,5,43,400
